IRN,ZF no.,Square,Genus,,Species,Sub-species,Notes on slides,Era,Grade,No. of individuals,No. positioned individuals,Observations Marina,Buckley Slide/SL,Museum no.,Residue IRN,Cruise name,Cruise station no.,Collection date,Observations,Collect info,tow,Sea Depth NOAA (m),Sea Depth (m),Sea Depth (fms),Sea Depth (feet),Sample depth (cm),sample_depth_min,sample_depth_max,Lat degrees,Lat minutes,Lat seconds,Lat N/S,Long degrees,Long minutes,Long seconds,Long W/E,Lat decimal,Long decimal,Ocean/Sea
5271486,5781,,Globorotalia,,menardii,,,,,17,,,745,M.5840,36361,HMS Penguin,3,21/05/1896,"Slide: 21/05/1898, Long 178 52 E",,,-4844,4965,2715,,,,,10,12,53,S,178,0,52,E,-10.21472,178.01444,Pacific ocean
5271487,5782,,Globorotalia,,menardii,,,,,17,,,763,M.7059,36704,HMS Penguin,723,20/09/1897,Slide: Long 145 41 3 W,,,-3952,4071,2226,,,,,13,10,18,S,175,41,18,W,-13.17167,-175.68833,Pacific ocean
5271489,5783,,Globorotalia,,menardii,,,,,24,,,790,M.4080,34993,HMS Egeria,,26/08/1889,,,,-2519,2579,1410,,,,,15,39,0,S,179,3,45,W,-15.65,-179.0625,Pacific ocean
5271490,5784,,Globorotalia,,menardii,,,,,31,,,812,"1965,O37",17338,RV Vema,V 14-100,25/05/58,,Sample depth: 20-23?,,-3663,3910,2138,,22-23,22,23,3,52,0,N,65,31,0,E,3.86667,65.51667,Indian ocean
5271491,5785,,Globorotalia,,menardii,,,Pleistocene G-M,,35,,,875,"1965,O38",17348,RV Vema,V 12-5,26/12/56,,,,-3182,3000,1640,,205-8,205,208,21,12,0,N,45,21,0,W,21.2,-45.35,Atlantic ocean
5271492,5786,,Globorotalia,,menardii,,,Pleistocene Gunz,,19,,,884,"1965,O38",17348,RV Vema,V 12-5,26/12/56,,,,-3182,3000,1640,,545-8,545,548,21,12,0,N,45,21,0,W,21.2,-45.35,Atlantic ocean
5271493,5787,,Globorotalia,,menardii - tumida,,,Pliocene,,11,,,906,"1965,O38",17348,RV Vema,V 12-5,26/12/56,,,,-3182,3000,1640,,625-8,625,628,21,12,0,N,45,21,0,W,21.2,-45.35,Atlantic ocean
5271494,5788,,Globorotalia,,menardii,,,Pleistocene Gunz,,18,,,944,"1965,O39",17359,RV Vema,V 15-164,03/05/59,,Sample depth: 5-8?,,-4123,3380,1848,,05-Jun,5,6,9,45,0,S,34,24,0,W,-9.75,-34.4,Atlantic ocean near Brazil
5271495,5789,,Globorotalia,,menardii,,,,,6,,,987,"1965,O208",17163,RV Argo,A 185-7,,,,,-2910,2470,1351,,151-152,151,152,21,7,0,N,72,51,0,W,21.11667,-72.85,Atlantic ocean near islands
5271496,5790,,Globorotalia,,tumida,,,,,6,,,82,,16654,RV Spencer F. Baird,DWBG 137,15/02/58,,,,-2712,2770,1515,,05-Sep,5,9,9,53,0,S,110,41,0,W,-9.88333,-110.68333,Pacific ocean
5271497,5791,,Globorotalia,,tumida,,,,,9,,,96,,16642,RV Horizon,Cap HG 40,02/02/53,Cap = Capricorn,,,-3641,3550,1941,,01-Apr,1,4,15,13,6,S,117,30,24,W,-15.21833,-117.50667,Pacific ocean
5271498,5792,,Globorotalia,,tumida,,,,,8,,,114,M.408,34991,HMS Challenger,338,21/03/1876,,,,-3740,3639,1990,,,,,21,15,0,S,14,2,0,W,-21.25,-14.03333,Atlantic ocean
5271499,5793,,Globorotalia,,tumida,,,,,13,,,148,,16640,RV Horizon,Cap HG 37,31/01/53,,,,-3456,3850,2105,,04-Aug,4,8,13,5,30,S,124,16,48,W,-13.09167,-124.28,Pacific ocean
5271501,5794,,Globorotalia,,tumida,,,,,17,,,175,,16645,RV Spencer F. Baird,DWBG 11,31/10/57,,,,-3415,4155,2272,,07-Oct,7,10,5,26,0,N,131,19,0,W,5.43333,-131.31667,Pacific ocean
5271502,5795,,Globorotalia,,tumida,,,,,1,,,272,,16652,RV Spencer F. Baird,DWBG 121,03/02/58,,,,-2819,3320,1815,,Oct-14,10,14,27,9,0,S,109,50,0,W,-27.15,-109.83333,Pacific ocean
5271503,5796,,Globorotalia,,menardii - tumida,,,,,18,,,281,,16653,RV Spencer F. Baird,DWBG 130,11/02/58,,Gravity corer,,-3034,3120,1706,,Dec-15,12,15,14,44,0,S,112,6,0,W,-14.73333,-112.1,Pacific ocean
5271504,5797,,Globorotalia,,tumida,,,,,4,,,308,,16657,RV Argo,MSN 53 G,05/12/60,,,,-2810,3658,2000,,04-Sep,4,9,16,25,0,S,66,2,0,E,-16.41667,66.03333,Indian ocean
5271505,5798,,Globorotalia,,tumida,,,,+250 mu,9,,,348,96626 (A52),30724,HEMS Mabahiss,167,25/04/34,,,,-4346,4042,2210,,4-5.5,4,5.5,7,11,36,N,63,2,33,E,7.19333,63.0425,Indian ocean
5271506,5799,,Globorotalia,,tumida,,,,,9,,,379,M.3787,34671,HMS Egeria ,,31/10/1887,,,,-2708,2869,1569,,,,,19,34,0,S,64,38,0,E,-19.56667,64.63333,Indian ocean
5271507,5800,,Globorotalia,,tumida,,,,,11,,,400,M.7525.A,37190,HMS Sealark,,31/07/05,,,,-3322,3919,2143,,,,,12,7,0,S,64,7,30,E,-12.11667,64.125,Indian ocean
5271508,5801,,Globorotalia,,tumida,,,,,1,,,426,M.4292,35238,HMS Egeria,,01/04/1894,,,,-2658,2749,1503,,,,,7,5,0,N,73,48,15,E,7.08333,73.80417,Indian ocean near coast
5271510,5802,,Globorotalia,,tumida,,,,,12,,,436,M.7488,37149,HMS Sealark,186,12/11/05,"Slide: 02/11/1905, Lat 2 41 1 S",,,-3594,3475,1900,,,,,2,42,6,S,67,23,0,E,-2.70167,67.38333,Indian ocean
5271511,5803,,Globorotalia,,tumida,,,,+250 mu,11,,,454,M.7487,37148,HMS Sealark,181,09/11/05,,,,-3507,3758,2055,,,,,7,35,30,S,61,29,0,E,-7.59167,61.48333,Indian ocean
5271512,5804,,Globorotalia,,tumida,,,,+250 mu,16,,,493,M.3791,34676,Egeria XX,,12/11/1887,,,,-4646,4510,2466,,,,,23,14,5,S,56,18,15,E,-23.23472,56.30417,Indian ocean
5271513,5805,,Globorotalia,,tumida,,,,,3,,,605,,17273,RNZFA Tui,N.Z.1.0.B.74 ; O31,09/09/58,,,,-124,869,475,,,,,20,57,0,S,175,14,0,W,-20.95,-175.23333,Pacific ocean near Tonga island
5271514,5806,,Globorotalia,,tumida,,,,,9,,,712,M.284,33668,HMS Challenger,220,11/03/1875,,,,-2213,2012,1100,,,,,0,42,0,S,147,0,0,E,-0.7,147,Pacific ocean
5271515,5807,,Globorotalia,,tumida,,,,,14,,,726,M.5987,36515,HMS Penguin,,05/05/1897,,,,-4057,4188,2290,,,,,9,41,0,S,174,37,30,W,-9.68333,-174.625,Pacific ocean
5271516,5808,,Globorotalia,,tumida,,,,,18,,,732,M.7037,36683,HMS Penguin,,06/09/1897,,,,-4634,4243,2320,,,,,1,12,48,N,161,50,12,W,1.21333,-161.83667,Pacific ocean
5271517,5809,,Globorotalia,,tumida,,,,,11,,,742,M.5840,36361,HMS Penguin,3,21/05/1896,"Slide: 21/05/1898, Long 178 52 E",,,-4844,4965,2715,,,,,10,12,53,S,178,0,52,E,-10.21472,178.01444,Pacific ocean
5271519,5810,,Globorotalia,,tumida,,,,,13,,,762,M.7059,36704,HMS Penguin,723,20/09/1897,Slide: Long 145 41 3 W,,,-3952,4071,2226,,,,,13,10,18,S,175,41,18,W,-13.17167,-175.68833,Pacific ocean
5271520,5811,,Globorotalia,,tumida,,,,,12,,,787,M.4080,34993,HMS Egeria,,26/08/1889,,,,-2519,2579,1410,,,,,15,39,0,S,179,3,45,W,-15.65,-179.0625,Pacific ocean
5271521,5812,,Globorotalia,,tumida,,,,,26,,,799,"1965,O37",17338,RV Vema,V 14-100,25/05/58,,Sample depth: 20-23?,,-3663,3910,2138,,22-23,22,23,3,52,0,N,65,31,0,E,3.86667,65.51667,Indian ocean
5271522,5813,,Globorotalia,,tumida,,,Pleistocene Gunz,,4,,,885,"1965,O38",17348,RV Vema,V 12-5,26/12/56,,,,-3182,3000,1640,,545-8,545,548,21,12,0,N,45,21,0,W,21.2,-45.35,Atlantic ocean
5271523,5814,,Globorotalia,,tumida,,,Pleistocene Gunz,,13,,,937,"1965,O39",17359,RV Vema,V 15-164,03/05/59,,Sample depth: 5-8?,,-4123,3380,1848,,05-Jun,5,6,9,45,0,S,34,24,0,W,-9.75,-34.4,Atlantic ocean near Brazil
5271525,5816,,Globorotalia,,tumida,,,,,5,,tow,1065,,18575,OMANGO Cruise 20 / Ombango,514,08/09/64,,"Plankton tow, 0-50 m?",1,-5067,,,,,,,7,36,0,S,5,25,0,E,-7.6,5.41667,Atlantic ocean
5271526,5817,,Globorotalia,,tumida,,,,,1,,tow,1102,,18719,Anton Bruun (A.B.) cruise 2,"Stn 139, no. 796",12/07/63,,Plankton tow,1,-5228,0-250,,,,,,8,37,0,S,79,34,0,E,-8.61667,79.56667,Indian ocean
5271527,5818,,Globorotalia,,tumida,,,Zone N21,,13,,,1161,"1968,O242",18483,RV Argo,Dodo 117 P,18/06/64,Slide: Long 6 4  E,Piston core,,-3407,3398,1858,,99-102,99,102,18,21,0,S,62,4,0,E,-18.35,62.06667,Indian ocean
5271528,5819,,Globorotalia,,tumida,,,,,2,,tow,1399,"1968,O446",18595,Oceanographer,16,17/08/67,,,1,-1590,50,27,,,,,18,23,0,S,113,22,0,E,-18.38333,113.36667,Indian ocean
5271530,5820,,Globorotalia,,tumida,,,,,1,,tow,1416,"1968,O449",18598,Oceanographer,19,20/08/67,,,1,-1056,50,27,,,,,26,5,0,S,111,36,0,E,-26.08333,111.6,Indian ocean
5271531,5821,,Globorotalia,,tumida,,,Zone Lower N19,,8,,,1473,"1968,O380",18529,RV Spencer F. Baird,CAP 38 BP,02/02/53,,,,-3735,3400,1859,,544-546,544,546,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5271532,5822,,Globorotalia,,tumida,,,,,6,,,1580,"1968,O379",18528,RV Spencer F. Baird,CAP 38 BP,02/02/53,"Sea depth: 3450 m , 1886 fms",,,-3735,3400,1859,,503-505,503,505,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5271533,5823,,Globorotalia,,tumida,,,,,20,,tow,1561,"1968,O462",18611,Oceanographer,15-Jul,17/08/67,,,1,-2506,50,27,,,,,16,39,0,S,113,3,0,E,-16.65,113.05,Indian ocean
5271534,5824,,Globorotalia,,truncatulinoides,,,,,12,,,42,M.192,32657,HMS Challenger,158,07/03/1874,,,,-3976,3292,1800,,,,,50,1,0,S,123,4,0,E,-50.01667,123.06667,Antarctic Indian Ocean
5271535,5825,,Globorotalia,,truncatulinoides,,,,,13,,,78,,16649,RV Spencer F. Baird,DWBG 74,11/12/57,,,,-3141,3220,1761,,03-Jul,3,6,43,43,0,S,107,36,0,W,-43.71667,-107.6,Pacific Ocean
5271536,5826,,Globorotalia,,truncatulinoides,,,,,4,,,126,M.408,34991,HMS Challenger,338,21/03/1876,,,,-3740,3639,1990,,,,,21,15,0,S,14,2,0,W,-21.25,-14.03333,Atlantic ocean
5271538,5827,,Globorotalia,,truncatulinoides,,,,,4,,,187,,16645,RV Spencer F. Baird,DWBG 11,31/10/57,,,,-3415,4155,2272,,07-Oct,7,10,5,26,0,N,131,19,0,W,5.43333,-131.31667,Pacific ocean
5271539,5828,,Globorotalia,,truncatulinoides,,,,,4,,,199,,16646,RV Spencer F. Baird,DWBG 36,23/11/57,,,,-2312,3680,2012,,03-Jul,3,6,26,19,0,S,147,7,0,W,-26.31667,-147.11667,Pacific Ocean
5271540,5829,,Globorotalia,,truncatulinoides,,with variant,,,53,,,209,"1,963,922",16647,RV Spencer F. Baird,DWBG 61,04/12/57,,,,-4030,4040,2209,,06-Nov,6,11,46,45,0,S,123,0,0,W,-46.75,-123,Pacific Ocean
5271541,5830,,Globorotalia,,truncatulinoides,,,,,20,,,215,"1,963,923",16648,RV Spencer F. Baird,DWBG 70,07/12/57,,,,-2677,2580,1411,,0-8,0,8,48,28,30,S,113,17,0,W,-48.475,-113.28333,Pacific Ocean
5271542,5831,,Globorotalia,,truncatulinoides,,,,,14,,,253,,16651,RV Spencer F. Baird,DWBG 120,01/02/58,Residue OBD: 01/01/1958,,,-3039,3060,1673,,13-20,13,20,27,56,0,S,106,55,0,W,-27.93333,-106.91667,Pacific Ocean
5271543,5832,,Globorotalia,,truncatulinoides,,,,,8,,,271,,16652,RV Spencer F. Baird,DWBG 121,03/02/58,,,,-2819,3320,1815,,Oct-14,10,14,27,9,0,S,109,50,0,W,-27.15,-109.83333,Pacific ocean
5271544,5833,,Globorotalia,,truncatulinoides,,,,,7,,,313,,16657,RV Argo,MSN 53 G,05/12/60,,,,-2810,3658,2000,,04-Sep,4,9,16,25,0,S,66,2,0,E,-16.41667,66.03333,Indian ocean
5271545,5834,,Globorotalia,,truncatulinoides,,,,,9,,,323,"1,963,930",16656,RV Horizon,DWHG 79,07/02/58,,,,-3362,,,,07-Nov,7,11,23,36,30,S,118,13,30,W,-23.60833,-118.225,Pacific ocean
5271546,5835,,Globorotalia,,truncatulinoides,,,,+250 mu,6,,,359,96626 (A52),30724,HEMS Mabahiss,167,25/04/34,,,,-4346,4042,2210,,41-42,41,42,7,11,36,N,63,2,33,E,7.19333,63.0425,Indian ocean
5271548,5836,,Globorotalia,,truncatulinoides,,,,,8,,,368,M.3787,34671,HMS Egeria ,,31/10/1887,,,,-2708,2869,1569,,,,,19,34,0,S,64,38,0,E,-19.56667,64.63333,Indian ocean
5271549,5837,,Globorotalia,,truncatulinoides,,,,+250 mu,2,,,460,M.7487,37148,HMS Sealark,181,09/11/05,,,,-3507,3758,2055,,,,,7,35,30,S,61,29,0,E,-7.59167,61.48333,Indian ocean
5271550,5838,,Globorotalia,,truncatulinoides,,,,+250 mu,14,,,496,M.3791,34676,Egeria XX,,12/11/1887,,,,-4646,4510,2466,,,,,23,14,5,S,56,18,15,E,-23.23472,56.30417,Indian ocean
5271551,5839,,Globorotalia,,truncatulinoides,,,,+250 mu,15,,,514,M.3793,34678,Egeria XXII,,16/11/1887,,,,-4211,4228,2312,,,,,29,56,0,S,54,6,0,E,-29.93333,54.1,Indian ocean
5271552,5840,,Globorotalia,,truncatulinoides,,,,+250 mu,34,,,526,M.5248,36057,HMS Penguin,12,17/04/1891,,,,-3829,3758,2055,,,,,24,53,30,S,110,23,30,E,-24.89167,110.39167,Indian ocean near coast
5271553,5841,,Globorotalia,,truncatulinoides,,,,+250 mu,31,,,548,M.5246,36053,HMS Penguin,9,16/04/1891,,,,-3350,3676,2010,,,,,26,56,12,S,111,10,54,E,-26.93667,111.18167,Indian ocean near coast
5271554,5842,,Globorotalia,,truncatulinoides,,,,,23,,,564,M.5241,36043,HMS Penguin,5,16/04/1891,,,,-1206,1443,789,,,,,28,0,30,S,112,27,30,E,-28.00833,112.45833,Indian ocean near coast
5271555,5843,,Globorotalia,,truncatulinoides,,,,,2,,,614,,17273,RNZFA Tui,N.Z.1.0.B.74,09/09/58,,,,-124,869,475,,,,,20,57,0,S,175,14,0,W,-20.95,-175.23333,Pacific ocean near Tonga island
5271557,5844,,Globorotalia,,truncatulinoides,,,,,20,,,630,,17240,F.N.Z.R.A.,N.Z.1.0.A.294,07/06/56,,,,-3021,2268,1240,,,,,28,53,0,S,170,0,0,E,-28.88333,170,"Pacific ocean, Tasman sea"
5271558,5845,,Globorotalia,,truncatulinoides,,,,,16,,,664,,17229,HMNZS Lachlan,N.Z.1.0.A.181,16/05/55,Slide: Long 178 50 E,,,-2464,1920,1050,,,,,33,53,0,S,173,50,0,E,-33.88333,173.83333,"Pacific ocean, Tasman sea"
5271559,5846,,Globorotalia,,truncatulinoides,,,,,24,,,673,,17031,RNZFA Tui,N.Z.1.0.A.315,19/08/56,,,,-1137,1148,628,,,,,39,46,0,S,167,45,0,E,-39.76667,167.75,"Pacific ocean, Tasman sea"
5271560,5847,,Globorotalia,,truncatulinoides,,,,,21,,,701,,17262,HMNZS Pukaki,N.Z.1.0.B.32,01/01/57,,,,-746,768,420,,,,,53,38,0,S,169,52,0,E,-53.63333,169.86667,Pacific ocean
5271561,5848,,Globorotalia,,truncatulinoides,,,,,2,,,731,M.7037,36683,HMS Penguin,,06/09/1897,,,,-4634,4243,2320,,,,,1,12,48,N,161,50,12,W,1.21333,-161.83667,Pacific ocean
5271562,5849,,Globorotalia,,truncatulinoides,,with variants,,,2,,,752,M.5840,36361,HMS Penguin,3,21/05/1896,"Slide: 21/05/1898, Long 178 52 E",,,-4844,4965,2715,,,,,10,12,53,S,178,0,52,E,-10.21472,178.01444,Pacific ocean
5271563,5850,,Globorotalia,,truncatulinoides,,,,,2,,,793,M.4080,34993,HMS Egeria,,26/08/1889,,,,-2519,2579,1410,,,,,15,39,0,S,179,3,45,W,-15.65,-179.0625,Pacific ocean
5271564,5851,,Globorotalia,,truncatulinoides,,,,,5,,,800,"1965,O37",17338,RV Vema,V 14-100,25/05/58,,Sample depth: 20-23?,,-3663,3910,2138,,22-23,22,23,3,52,0,N,65,31,0,E,3.86667,65.51667,Indian ocean
5271565,5852,,Globorotalia,,truncatulinoides,,,Pleistocene Gunz,,27,,,827,"1965,O40",17371,RV Vema,V 16-21,09/11/59,Sample depth: 555-558?,,,-3881,3795,2075,,55-58,55,58,17,16,30,N,48,25,0,W,17.275,-48.41667,Atlantic ocean
5271566,5853,,Globorotalia,,truncatulinoides,,,Pleistocene Gunz,,33,,,860,"1965,O41",17382,RV Vema ,V 16-23,12/11/59,,,,-4298,4886,2672,,950-3,950,953,13,15,0,N,40,40,0,W,13.25,-40.66667,Atlantic ocean
5271567,5854,,Globorotalia,,truncatulinoides,,,Pleistocene G-M,,32,,,878,"1965,O38",17348,RV Vema,V 12-5,26/12/56,,,,-3182,3000,1640,,205-8,205,208,21,12,0,N,45,21,0,W,21.2,-45.35,Atlantic ocean
5271569,5855,,Globorotalia,,truncatulinoides,,,Pleistocene Gunz,,26,,,895,"1965,O38",17348,RV Vema,V 12-5,26/12/56,,,,-3182,3000,1640,,545-8,545,548,21,12,0,N,45,21,0,W,21.2,-45.35,Atlantic ocean
5271570,5856,,Globorotalia,,truncatulinoides,,,Pliocene,,24,,,912,"1965,O38",17348,RV Vema,V 12-5,26/12/56,,,,-3182,3000,1640,,625-8,625,628,21,12,0,N,45,21,0,W,21.2,-45.35,Atlantic ocean
5271571,5857,,Globorotalia,,truncatulinoides,,,Pleistocene Gunz,,17,,,938,"1965,O39",17359,RV Vema,V 15-164,03/05/59,,Sample depth: 5-8?,,-4123,3380,1848,,05-Jun,5,6,9,45,0,S,34,24,0,W,-9.75,-34.4,Atlantic ocean near Brazil
5271572,5858,,Globorotalia,,truncatulinoides,,,,,27,,,958,"1965,O206",17371,RV Vema,V 16-21,09/11/59,"Residual IRN related to 1965,O40 (and not 1965,O206)",,,-3881,3795,2075,,80-82,80,82,17,16,30,N,48,25,0,W,17.275,-48.41667,Atlantic ocean
5271573,5859,,Globorotalia,,truncatulinoides,,,,,9,,,985,"1965,O208",17163,RV Argo,A 185-7,,,,,-2910,2470,1351,,151-152,151,152,21,7,0,N,72,51,0,W,21.11667,-72.85,Atlantic ocean near islands
5271574,5860,,Globorotalia,,truncatulinoides,,,,,14,,,989,"1965,O208",17163,RV Argo,A 185-7,,,,,-2910,2470,1351,,402,402,402,21,7,0,N,72,51,0,W,21.11667,-72.85,Atlantic ocean near islands
5271575,5861,,Globorotalia,,truncatulinoides,,,,,21,,,1028,"1965,O203",17162,RV Vema,V 3-153,,,,,-1004,970,530,,2,2,2,28,24,0,N,77,56,0,W,28.4,-77.93333,Atlantic ocean near coast
5271577,5862,*,Globorotalia,,truncatulinoides,,non-calcified/young,,,40,,tow,1038,"1965,O363",18265,Zapiola,,Sep-63,,Surface plankton tow,1,-5476,0,0,,,,,44,14,0,S,50,14,0,W,-44.23333,-50.23333,Atlantic ocean
